played_at,song_name,artist,popularity,belong_to_album,artist_uri,artist_featured
2023-07-16 15:03,Kings & Queens,Ava Max,84,Yes,spotify:artist:4npEfmQ6YuiwW1GpUmaq3F,None
2023-07-16 15:01,GIRL LIKE ME,Black Eyed Peas,76,Yes,"['spotify:artist:1yxSLGMDHlW21z4YXirZDS', 'spotify:artist:0EmeFodog0BfCgMzAIvKQp']",Shakira
2023-07-16 14:57,Alone ,Kim Petras,80,No,"['spotify:artist:3Xt3RrJMFv5SZkCfUE8C1J', 'spotify:artist:0hCNtLu0JehylgoiP8L4Gh']",Nicki Minaj
2023-07-16 14:54,Praise The Lord ,A$AP Rocky,86,Yes,"['spotify:artist:13ubrt8QOOCPljQ2FL1Kca', 'spotify:artist:2p1fiYHYiXz9qi0JJyxBzN']",Skepta
2023-07-16 14:51,Prada,G4 Boyz,37,No,"['spotify:artist:4ZtqSJYEh407LR6NM5hNcS', 'spotify:artist:27NMpKmQTbEGZ4R6kFrHoy']",G4choppa
2023-07-16 14:48,Heavy ,Nigo,57,No,"['spotify:artist:2rAnv6brcXaglLZBB4XXEn', 'spotify:artist:4O15NlyKLIASxsJ0PrXPfz']",Lil Uzi Vert
2023-07-16 14:45,"F*CK YOU, GOODBYE ",The Kid LAROI,75,Yes,"['spotify:artist:2tIP7SsRs7vjIcLrU85W8J', 'spotify:artist:6TIYQ3jFPwQSRmorSezPxX']",Machine Gun Kelly
2023-07-16 14:42,My Feelings,Serhat Durmus,51,No,"['spotify:artist:1R2iRWvuwwokMKGHirNGTD', 'spotify:artist:5mYakBbBzPMQTfkVMIgiDM']",Georgia Ku
2023-07-16 14:38,Not So Bad ,Rae Sremmurd,77,Yes,spotify:artist:7iZtZyCzp3LItcw1wtPI3D,None
2023-07-16 11:17,Streets,Doja Cat,85,Yes,spotify:artist:5cj0lLjcoR7YOSnhnX0Po5,None
2023-07-16 10:44,Not So Bad ,Rae Sremmurd,77,Yes,spotify:artist:7iZtZyCzp3LItcw1wtPI3D,None
2023-07-16 10:39,Lovin' Me,FIFTY FIFTY,73,No,spotify:artist:4GJ6xDCF5jaUqD6avOuQT6,None
2023-07-16 10:36,On God,Kanye West,63,Yes,spotify:artist:5K4W6rqBFWDnAN6FQUkS6x,None
2023-07-16 10:33,My Heart Hurts,Dax,51,Yes,spotify:artist:5icKdCmMhNMYoAzVBAWt39,None
2023-07-16 10:30,GOD DID ,DJ Khaled,67,Yes,"['spotify:artist:0QHgL1lAIqAw0HtD7YldmP', 'spotify:artist:1sBkRIssrMs1AbVkOJbc7a', 'spotify:artist:55Aa2cqylxrFIXC767Z865', 'spotify:artist:3nFkdlSjzX9mRTtwJOzDYB', 'spotify:artist:5y2Xq6xcjJb2jVM54GHK3t', 'spotify:artist:7sP4SQ0WY6jfps1I19Ot7i']","['Rick Ross', 'Lil Wayne', 'JAY-Z', 'John Legend', 'Fridayy']"
2023-07-16 10:21,Battles with Faith,Dax,44,Yes,spotify:artist:5icKdCmMhNMYoAzVBAWt39,None
2023-07-16 10:17,I Can't Breathe,Dax,49,Yes,spotify:artist:5icKdCmMhNMYoAzVBAWt39,None
2023-07-16 08:12,I Can't Breathe,Dax,49,Yes,spotify:artist:5icKdCmMhNMYoAzVBAWt39,None
2023-07-16 08:09,JOKER,Dax,61,No,spotify:artist:5icKdCmMhNMYoAzVBAWt39,None
2023-07-16 08:05,The Devil's Calling,Dax,62,Yes,spotify:artist:5icKdCmMhNMYoAzVBAWt39,None
2023-07-16 08:02,Book Of Revelations,Dax,49,Yes,spotify:artist:5icKdCmMhNMYoAzVBAWt39,None
2023-07-16 07:59,Dear God,Dax,60,Yes,spotify:artist:5icKdCmMhNMYoAzVBAWt39,None
2023-07-16 07:54,I Need A Break,Dax,44,Yes,spotify:artist:5icKdCmMhNMYoAzVBAWt39,None
2023-07-16 07:52,Eternity,Dax,52,Yes,spotify:artist:5icKdCmMhNMYoAzVBAWt39,None
2023-07-16 07:48,Everything We Need,Kanye West,61,Yes,"['spotify:artist:5K4W6rqBFWDnAN6FQUkS6x', 'spotify:artist:7c0XG5cIJTrrAgEC3ULPiq', 'spotify:artist:028lPW2NdWHdSPCkRkcyhd']","['Ty Dolla $ign', 'Ant Clemons']"
2023-07-16 07:46,Child of God,Dax,50,No,spotify:artist:5icKdCmMhNMYoAzVBAWt39,None
2023-07-15 22:59,Terminator,Asake,70,Yes,spotify:artist:3a1tBryiczPAZpgoZN9Rzg,None
2023-07-15 22:58,F.F.,Lil Uzi Vert,57,No,spotify:artist:4O15NlyKLIASxsJ0PrXPfz,None
2023-07-15 22:55,Lie,NF,78,Yes,spotify:artist:6fOMl44jA4Sp5b9PpYCkzz,None
2023-07-15 22:52,Ngana Rindu? ,DJ Lucu,40,No,"['spotify:artist:5KR0LKc7nW7pGTY8p49LXZ', 'spotify:artist:2bEMXU6rJTKBU8iVWnxYiO']",Adit Sparky
2023-07-15 22:48,Stuck In A Dream ,Lil Mosey,74,Yes,"['spotify:artist:5zctI4wO9XSKS8XwcnqEHk', 'spotify:artist:2hlmm7s2ICUX0LVIhVFlZQ']",Gunna
2023-07-15 22:46,Wasted ,Juice WRLD,79,Yes,"['spotify:artist:4MCBfE4596Uoi2O4DtmEMz', 'spotify:artist:4O15NlyKLIASxsJ0PrXPfz']",Lil Uzi Vert
2023-07-15 22:42,in heat.,Hentai Xander,63,No,spotify:artist:7J67YP5oiObsKJkC7mrRWW,None
2023-07-15 22:40,Hot ,Young Thug,74,Yes,"['spotify:artist:50co4Is1HCEo8bhOyUWKpn', 'spotify:artist:2hlmm7s2ICUX0LVIhVFlZQ']",Gunna
2023-07-15 22:37,Higher ,Clean Bandit,61,No,"['spotify:artist:6MDME20pz9RveH9rEXvrOM', 'spotify:artist:6ASri4ePR7RlsvIQgWPJpS']",iann dior
2023-07-15 22:34,What You Need,Don Toliver,63,Yes,spotify:artist:4Gso3d4CscCijv0lmajZWs,None
2023-07-15 22:30,At Me,KEVZOR,44,No,spotify:artist:6E3uQqu3tML9MKdzxrIE7I,None
2023-07-15 22:28,emo girl ,Machine Gun Kelly,70,Yes,"['spotify:artist:6TIYQ3jFPwQSRmorSezPxX', 'spotify:artist:3rWZHrfrsPBxVy692yAIxF']",WILLOW
2023-07-15 22:25,Leave The Door Open,Bruno Mars,85,Yes,"['spotify:artist:0du5cEVh5yTK9QJze8zA0C', 'spotify:artist:3jK9MiCrA42lLAdMGUZpwa', 'spotify:artist:6PvvGcCY2XtUcSRld1Wilr']","['Anderson .Paak', 'Silk Sonic']"
2023-07-15 22:21,Paris to Tokyo,Fivio Foreign,63,No,"['spotify:artist:14CHVeJGrR5xgUGQFV5BVM', 'spotify:artist:2tIP7SsRs7vjIcLrU85W8J']",The Kid LAROI
2023-07-15 22:19,Never Is Enough,iann dior,59,Yes,spotify:artist:6ASri4ePR7RlsvIQgWPJpS,None
