played_at,song_name,artist,popularity,belong_to_album
2023-07-16 15:03,Kings & Queens,['Ava Max-spotify:artist:4npEfmQ6YuiwW1GpUmaq3F'],84,Yes
2023-07-16 15:01,GIRL LIKE ME,"['Black Eyed Peas-spotify:artist:1yxSLGMDHlW21z4YXirZDS', 'Shakira-spotify:artist:0EmeFodog0BfCgMzAIvKQp']",76,Yes
2023-07-16 14:57,Alone (with Nicki Minaj),"['Kim Petras-spotify:artist:3Xt3RrJMFv5SZkCfUE8C1J', 'Nicki Minaj-spotify:artist:0hCNtLu0JehylgoiP8L4Gh']",80,No
2023-07-16 14:54,Praise The Lord (Da Shine) (feat. Skepta),"['A$AP Rocky-spotify:artist:13ubrt8QOOCPljQ2FL1Kca', 'Skepta-spotify:artist:2p1fiYHYiXz9qi0JJyxBzN']",86,Yes
2023-07-16 14:51,Prada,"['G4 Boyz-spotify:artist:4ZtqSJYEh407LR6NM5hNcS', 'G4choppa-spotify:artist:27NMpKmQTbEGZ4R6kFrHoy']",37,No
2023-07-16 14:48,Heavy (with Lil Uzi Vert),"['Nigo-spotify:artist:2rAnv6brcXaglLZBB4XXEn', 'Lil Uzi Vert-spotify:artist:4O15NlyKLIASxsJ0PrXPfz']",57,No
2023-07-16 14:45,"F*CK YOU, GOODBYE (feat. Machine Gun Kelly)","['The Kid LAROI-spotify:artist:2tIP7SsRs7vjIcLrU85W8J', 'Machine Gun Kelly-spotify:artist:6TIYQ3jFPwQSRmorSezPxX']",75,Yes
2023-07-16 14:42,My Feelings,"['Serhat Durmus-spotify:artist:1R2iRWvuwwokMKGHirNGTD', 'Georgia Ku-spotify:artist:5mYakBbBzPMQTfkVMIgiDM']",51,No
2023-07-16 14:38,Not So Bad (Leans Gone Cold),['Rae Sremmurd-spotify:artist:7iZtZyCzp3LItcw1wtPI3D'],77,Yes
2023-07-16 11:17,Streets,['Doja Cat-spotify:artist:5cj0lLjcoR7YOSnhnX0Po5'],85,Yes
2023-07-16 10:44,Not So Bad (Leans Gone Cold),['Rae Sremmurd-spotify:artist:7iZtZyCzp3LItcw1wtPI3D'],77,Yes
2023-07-16 10:39,Lovin' Me,['FIFTY FIFTY-spotify:artist:4GJ6xDCF5jaUqD6avOuQT6'],73,No
2023-07-16 10:36,On God,['Kanye West-spotify:artist:5K4W6rqBFWDnAN6FQUkS6x'],63,Yes
2023-07-16 10:33,My Heart Hurts,['Dax-spotify:artist:5icKdCmMhNMYoAzVBAWt39'],51,Yes
2023-07-16 10:30,"GOD DID (feat. Rick Ross, Lil Wayne, Jay-Z, John Legend & Fridayy)","['DJ Khaled-spotify:artist:0QHgL1lAIqAw0HtD7YldmP', 'Rick Ross-spotify:artist:1sBkRIssrMs1AbVkOJbc7a', 'Lil Wayne-spotify:artist:55Aa2cqylxrFIXC767Z865', 'JAY-Z-spotify:artist:3nFkdlSjzX9mRTtwJOzDYB', 'John Legend-spotify:artist:5y2Xq6xcjJb2jVM54GHK3t', 'Fridayy-spotify:artist:7sP4SQ0WY6jfps1I19Ot7i']",67,Yes
2023-07-16 10:21,Battles with Faith,['Dax-spotify:artist:5icKdCmMhNMYoAzVBAWt39'],44,Yes
2023-07-16 10:17,I Can't Breathe,['Dax-spotify:artist:5icKdCmMhNMYoAzVBAWt39'],49,Yes
2023-07-16 08:12,I Can't Breathe,['Dax-spotify:artist:5icKdCmMhNMYoAzVBAWt39'],49,Yes
2023-07-16 08:09,JOKER,['Dax-spotify:artist:5icKdCmMhNMYoAzVBAWt39'],61,No
2023-07-16 08:05,The Devil's Calling,['Dax-spotify:artist:5icKdCmMhNMYoAzVBAWt39'],62,Yes
2023-07-16 08:02,Book Of Revelations,['Dax-spotify:artist:5icKdCmMhNMYoAzVBAWt39'],49,Yes
2023-07-16 07:59,Dear God,['Dax-spotify:artist:5icKdCmMhNMYoAzVBAWt39'],60,Yes
